[-21.6608882167, 41.4611896116]
[-21.6951412661, 41.4394127769]
[-21.7270508691, 41.4192481124]
[-21.7629398342, 41.4257801590]
[-21.8453663406, 41.4839426826]
[-21.8957888650, 41.4371224558]
[-21.8755298551, 41.4159035989]
[-21.8805380890, 41.4221542210]
[-21.7874789474, 41.3994757428]
[-21.8099219408, 41.3828012104]
[-21.7033353336, 41.3626902387]
[-21.7317782853, 41.3492307281]
[-21.7590133252, 41.4120749535]
[-21.7654358893, 41.3948607857]
[-21.8077205665, 41.3804054626]
[-21.6954060698, 41.3366027665]
[-21.7435507080, 41.4018565057]
[-21.7089446634, 41.4343724142]
[-21.6769903142, 41.4644929447]
[-21.6538261974, 41.5175936106]
[-21.5718476027, 41.4644722210]
[-21.5635128160, 41.5424162215]
[-21.5681220099, 41.5146426757]
[-21.5303861681, 41.5369248875]
[-21.5817520496, 41.5351045477]
[-21.5688312162, 41.5060285792]
[-21.5211097695, 41.5522856749]
[-21.4288698403, 41.5429405431]
[-21.4653937857, 41.5137095051]
[-21.5183261156, 41.4870525440]
[-21.5255058318, 41.4358307347]
[-21.4843338326, 41.4113082617]
[-21.5802785445, 41.4187876418]
[-21.5480372333, 41.3716579686]
[-21.6763454399, 41.3839707419]
[-21.7167661059, 41.4427896543]
[-21.7650276995, 41.3982074436]
[-21.7064965080, 41.3778368451]
[-21.7250328385, 41.4369766957]
[-21.7531879355, 41.3926829172]
[-21.7669477217, 41.3760548737]
[-21.7735042387, 41.4105175844]
[-21.7542487601, 41.3424300914]
[-21.8585827107, 41.4086525409]
[-21.7354096284, 41.3868771995]
[-21.7716925202, 41.3231978086]
[-21.7507417981, 41.2623943629]
[-21.8288936723, 41.3096119428]
[-21.8890641373, 41.3785466923]
[-21.9005852303, 41.3412913439]
[-21.8379514330, 41.3041439716]
[-21.8707354151, 41.3481526182]
[-21.9179799823, 41.3152613156]
[-21.9311205291, 41.3086207764]
[-21.8578009613, 41.3243772088]
[-21.8315226808, 41.2912349609]
[-21.8557179144, 41.3123062313]
[-21.8352117324, 41.3056099924]
[-21.7734836481, 41.2732503665]
[-21.7768380434, 41.2706476747]
[-21.7743000906, 41.3182243268]
[-21.7839689388, 41.3380340422]
[-21.8357754320, 41.3831017708]
[-21.8465213780, 41.3487541706]
[-21.8988908269, 41.3432344260]
[-21.9407272723, 41.3131153595]
[-21.9616129045, 41.3592353776]
[-22.0351560027, 41.4041386923]
[-21.9623882122, 41.3903451852]
[-21.9978308281, 41.4311921112]
[-21.9929138792, 41.3927458115]
[-22.0066419357, 41.4322153447]
[-22.0005149480, 41.4678682202]
[-22.0061954341, 41.4760184318]
[-21.9807381258, 41.5069474798]
[-21.9078792012, 41.4833985957]
[-21.9749091159, 41.5664435453]
[-21.9566034713, 41.5395936701]
[-21.9336555271, 41.5636919121]
[-21.8574556648, 41.5833188237]
[-21.9147029201, 41.6058170346]
[-21.8880632881, 41.5235776872]
[-21.7668076394, 41.4925691061]
[-21.6547574884, 41.4635864962]
[-21.5577301671, 41.4617211429]
[-21.6083602469, 41.4404549350]
[-21.6144393392, 41.4690058856]
[-21.6694870749, 41.4723567157]
[-21.7086554316, 41.4252789451]
[-21.7581697617, 41.4318059178]
[-21.7071641343, 41.4093686157]
[-21.6845493124, 41.4145233369]
[-21.5911857608, 41.4166712599]
[-21.5906008373, 41.4721612376]
[-21.5904221489, 41.4486432392]
[-21.6154515976, 41.4526001409]
[-21.6449429786, 41.4068394210]
[-21.5821002779, 41.3610295727]
[-21.5609326284, 41.3948487253]
[-21.6269060916, 41.4047563395]
[-21.6759211795, 41.3639786560]
[-21.7588931791, 41.4024599996]
[-21.7382363377, 41.4095963415]
[-21.7251210060, 41.4415256883]
[-21.8329947047, 41.3764625449]
[-21.7819993751, 41.3598752722]
[-21.7283982369, 41.3943652359]
[-21.7817481131, 41.4055115757]
[-21.8310587006, 41.4159214856]
[-21.8645414743, 41.4501255842]
[-21.8831376018, 41.5063959138]
[-21.9000868216, 41.5586330677]
[-21.9076421974, 41.5060253974]
[-21.8842612431, 41.4806886434]
[-21.9046823570, 41.4834600821]
[-21.9231080130, 41.4858510466]
[-21.9396552201, 41.4878960846]
[-21.9962332566, 41.4415991662]
[-21.9998442017, 41.4215307242]
